project_budget,region,tower_type,month,year,weather_index,lead_time_days,material_name,quantity
16603966,Gujarat,Transmission,6,2024,0.44,17,Steel Tower,66
24579696,Tamil Nadu,Transmission,8,2024,0.82,30,Circuit Breaker,18
13040523,Uttar Pradesh,Substation,2,2024,0.38,26,Circuit Breaker,5
5809076,Karnataka,Substation,2,2025,0.55,27,Power Transformer 220kV,3
9471784,Tamil Nadu,Substation,7,2025,0.34,21,Copper Cable 400mm,2178
22986353,West Bengal,Transmission,12,2025,0.36,30,Relay Panel,13
18561306,West Bengal,Substation,7,2024,0.66,30,Insulator Disc,1095
18685065,Uttar Pradesh,Substation,5,2024,0.58,16,Power Transformer 220kV,8
17207752,Tamil Nadu,Distribution,7,2024,0.44,28,Galvanized Steel Wire,3458
21059481,West Bengal,Transmission,10,2025,0.47,26,Circuit Breaker,15
9445294,Karnataka,Transmission,12,2025,0.69,29,Power Transformer 220kV,3
14235473,Madhya Pradesh,Transmission,11,2024,0.75,19,Insulator Disc,854
11680755,Madhya Pradesh,Substation,10,2025,0.32,21,Relay Panel,6
5593502,West Bengal,Transmission,10,2024,0.7,10,Circuit Breaker,3
17708440,Rajasthan,Distribution,10,2025,0.87,12,High Voltage Fuse,9
6583546,Rajasthan,Substation,12,2024,0.83,29,Galvanized Steel Wire,1507
19230059,Gujarat,Transmission,9,2024,0.67,11,Circuit Breaker,10
13870083,Madhya Pradesh,Transmission,7,2024,0.89,17,Relay Panel,8
24329547,Karnataka,Transmission,2,2024,0.34,22,Relay Panel,7
22348988,Madhya Pradesh,Transmission,1,2024,0.43,28,Circuit Breaker,12
16056433,Madhya Pradesh,Substation,7,2024,0.33,13,Earthing Rod,867
9489965,Bihar,Distribution,5,2024,0.39,23,Insulator Disc,446
8735862,Delhi,Substation,12,2025,0.63,30,Circuit Breaker,6
10492359,Uttar Pradesh,Transmission,9,2024,0.4,24,Galvanized Steel Wire,3042
20891114,Karnataka,Transmission,5,2025,0.31,29,High Voltage Fuse,7
18847641,Bihar,Substation,6,2025,0.83,28,Insulator Disc,1055
20348366,Rajasthan,Substation,5,2025,0.59,11,ACSR Conductor,4842
12411262,Bihar,Distribution,2,2024,0.75,28,Relay Panel,5
24019533,Rajasthan,Transmission,11,2024,0.78,26,Insulator Disc,1321
23732225,Uttar Pradesh,Substation,5,2025,0.39,19,Steel Tower,118
23845787,Gujarat,Distribution,11,2025,0.85,26,Power Transformer 220kV,14
6904796,Gujarat,Substation,1,2025,0.57,13,ACSR Conductor,2071
6548275,Gujarat,Substation,4,2024,0.8,25,Power Transformer 220kV,3
9186136,Madhya Pradesh,Transmission,12,2024,0.52,11,Relay Panel,7
9297184,Bihar,Substation,11,2024,0.41,16,Galvanized Steel Wire,2482
8080518,Madhya Pradesh,Transmission,9,2025,0.7,24,High Voltage Fuse,5
24025243,Uttar Pradesh,Distribution,12,2024,0.64,30,Steel Tower,48
7316950,Karnataka,Transmission,4,2024,0.42,25,Copper Cable 400mm,2085
15814100,Gujarat,Transmission,5,2024,0.36,24,Circuit Breaker,7
10855628,Delhi,Substation,12,2024,0.44,27,Circuit Breaker,5
20787428,Maharashtra,Transmission,11,2025,0.49,11,Galvanized Steel Wire,3284
21831594,Maharashtra,Distribution,8,2025,0.32,16,Earthing Rod,1091
15820059,Madhya Pradesh,Distribution,12,2025,0.35,14,Earthing Rod,854
14203290,Delhi,Substation,6,2025,0.55,21,Insulator Disc,624
22457741,Madhya Pradesh,Distribution,10,2024,0.53,26,ACSR Conductor,6220
11685449,Bihar,Distribution,1,2025,0.38,20,Galvanized Steel Wire,2769
14072002,Delhi,Substation,12,2024,0.31,17,High Voltage Fuse,4
21756579,Rajasthan,Distribution,10,2024,0.46,19,Steel Tower,108
19877832,Delhi,Substation,3,2024,0.6,10,Insulator Disc,1172
9623954,Bihar,Substation,9,2025,0.9,30,Relay Panel,5
19509433,Karnataka,Substation,12,2024,0.3,14,Insulator Disc,1033
13048322,Gujarat,Substation,1,2024,0.83,25,Relay Panel,4
22740117,Gujarat,Substation,10,2025,0.5,23,Copper Cable 400mm,4093
13071443,Delhi,Substation,1,2025,0.64,29,Power Transformer 220kV,9
19088157,Karnataka,Distribution,1,2025,0.44,15,ACSR Conductor,3454
13820423,Rajasthan,Substation,1,2024,0.87,10,Earthing Rod,552
11561612,Delhi,Transmission,11,2025,0.55,12,High Voltage Fuse,6
16271613,Karnataka,Substation,4,2025,0.73,13,Steel Tower,32
9400948,Karnataka,Distribution,3,2024,0.6,11,Earthing Rod,413
20560416,Bihar,Distribution,3,2024,0.55,13,Insulator Disc,925
24835292,Madhya Pradesh,Distribution,11,2024,0.44,15,Steel Tower,99
20318856,Gujarat,Distribution,1,2025,0.77,24,Galvanized Steel Wire,4470
16463285,Uttar Pradesh,Distribution,1,2025,0.86,20,Earthing Rod,823
17668367,Tamil Nadu,Substation,9,2024,0.8,17,Earthing Rod,865
9705531,Karnataka,Distribution,12,2025,0.34,24,ACSR Conductor,1562
10031887,West Bengal,Distribution,6,2024,0.52,12,Power Transformer 220kV,4
20785440,Delhi,Distribution,7,2024,0.47,19,Power Transformer 220kV,8
8596219,West Bengal,Distribution,1,2025,0.8,11,Steel Tower,42
14955859,West Bengal,Substation,7,2024,0.71,19,Steel Tower,74
7485875,Rajasthan,Distribution,1,2024,0.73,16,Steel Tower,37
7192744,Madhya Pradesh,Distribution,11,2025,0.71,17,Insulator Disc,309
19743758,Rajasthan,Distribution,2,2024,0.56,14,ACSR Conductor,5469
9540807,Delhi,Substation,11,2025,0.62,23,ACSR Conductor,1755
